timestamp,keyword,page_rows,csv_rows,difference,status,reason,csv_file
2026-01-30T18:53:01.729182,Tablet,10,6121,-6111,mismatch,page_rows=10 csv_rows=6121,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_001_Tablet.csv
2026-01-30T18:54:18.407473,Capsule,10,6775,-6765,mismatch,page_rows=10 csv_rows=6775,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_002_Capsule.csv
2026-01-30T18:55:33.800973,Powder,10,1916,-1906,mismatch,page_rows=10 csv_rows=1916,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_003_Powder.csv
2026-01-30T18:56:49.489369,Granules,10,1030,-1020,mismatch,page_rows=10 csv_rows=1030,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_004_Granules.csv
2026-01-30T18:58:04.457339,Syrup,10,551,-541,mismatch,page_rows=10 csv_rows=551,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_005_Syrup.csv
2026-01-30T18:59:20.403958,Suspension,10,392,-382,mismatch,page_rows=10 csv_rows=392,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_006_Suspension.csv
2026-01-30T19:00:36.626680,Solution,10,1448,-1438,mismatch,page_rows=10 csv_rows=1448,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_007_Solution.csv
2026-01-30T19:01:51.256444,Drops,10,144,-134,mismatch,page_rows=10 csv_rows=144,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_008_Drops.csv
2026-01-30T19:03:06.397889,Cream,10,463,-453,mismatch,page_rows=10 csv_rows=463,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_009_Cream.csv
2026-01-30T19:04:22.078389,Ointment,10,151,-141,mismatch,page_rows=10 csv_rows=151,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_010_Ointment.csv
2026-01-30T19:06:32.993207,Gel,0,0,0,no_csv_button,CSV button not available,
2026-01-30T19:07:48.155424,Lotion,10,74,-64,mismatch,page_rows=10 csv_rows=74,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_012_Lotion.csv
2026-01-30T19:09:02.708946,Paste,10,16,-6,mismatch,page_rows=10 csv_rows=16,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_013_Paste.csv
2026-01-30T19:10:17.528088,Spray,10,104,-94,mismatch,page_rows=10 csv_rows=104,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_014_Spray.csv
2026-01-30T19:11:33.371650,Injection,10,1352,-1342,mismatch,page_rows=10 csv_rows=1352,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_015_Injection.csv
2026-01-30T19:12:48.995207,Infusion,10,490,-480,mismatch,page_rows=10 csv_rows=490,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_016_Infusion.csv
2026-01-30T19:14:03.971284,Inhaler,10,49,-39,mismatch,page_rows=10 csv_rows=49,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_017_Inhaler.csv
2026-01-30T19:15:18.943609,Nebulizer,2,2,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_018_Nebulizer.csv
2026-01-30T19:16:35.016127,Suppository,10,15,-5,mismatch,page_rows=10 csv_rows=15,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_019_Suppository.csv
2026-01-30T19:17:50.687029,Pessary,9,9,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_020_Pessary.csv
2026-01-30T19:19:05.324485,Patch,10,41,-31,mismatch,page_rows=10 csv_rows=41,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_021_Patch.csv
2026-01-30T19:20:20.614171,Implant,2,2,0,ok,,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_022_Implant.csv
2026-01-30T19:21:36.039077,Lozenge,10,126,-116,mismatch,page_rows=10 csv_rows=126,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_023_Lozenge.csv
2026-01-30T19:22:51.181668,Chewable,10,473,-463,mismatch,page_rows=10 csv_rows=473,D:\quad99\Scrappers\output\Malaysia\bulk_search_csvs\bulk_search_024_Chewable.csv
2026-01-30T19:25:02.632094,Oral,0,0,0,no_csv_button,CSV button not available,
